id,category_id,supplier_id,name,sku,price,cost,description,attributes,is_active
1,18,195,Ultra Home Member,KAX-42-00001,735.05,308.4,High quality ultra home member from ChefChoice.,"{""brand"": ""ChefChoice"", ""material"": ""Plastic"", ""weight_kg"": 23.41}",True
2,28,44,Deluxe Automotive Wrong,CCX-42-00002,56.95,34.59,High quality deluxe automotive wrong from MotorMax.,"{""brand"": ""MotorMax"", ""weight_g"": 1261}",True
3,1,139,Smart Electronics Her,EXY-42-00003,1407.11,1029.51,High quality smart electronics her from Sonyx.,"{""brand"": ""Sonyx"", ""color"": ""Navy"", ""weight_kg"": 7.59, ""warranty_years"": 5}",True
4,18,54,Premium Home Amount,KAX-42-00004,152.81,63.15,High quality premium home amount from DecoHome.,"{""brand"": ""DecoHome"", ""material"": ""Leather"", ""weight_kg"": 0.99}",True
5,16,9,Deluxe Apparel Discuss,FXY-42-00005,73.03,44.91,High quality deluxe apparel discuss from Vogue.,"{""brand"": ""Vogue"", ""color"": ""Blue"", ""size"": ""XXL"", ""material"": ""Wool""}",True
6,30,60,Eco Grocery Sort,SSX-42-00006,4.86,2.2,High quality eco grocery sort from TastyBites.,"{""brand"": ""TastyBites"", ""organic"": true, ""expiration_days"": 279}",True
7,28,135,Eco Automotive Method,CCX-42-00007,288.36,153.05,High quality eco automotive method from TireSafe.,"{""brand"": ""TireSafe"", ""weight_g"": 1250}",True
8,4,97,Ultra Sports Each,SOX-42-00008,154.37,69.12,High quality ultra sports each from AquaFlow.,"{""brand"": ""AquaFlow"", ""material"": ""Glass"", ""weight_kg"": 16.4}",True
9,6,164,Deluxe Books At,BXY-42-00009,57.94,42.01,High quality deluxe books at from OReilly.,"{""brand"": ""OReilly"", ""weight_g"": 507}",True
10,22,160,Eco Sports Everything,ORX-42-00010,408.15,217.31,High quality eco sports everything from FitPulse.,"{""brand"": ""FitPulse"", ""material"": ""Wool"", ""weight_kg"": 4.85}",True
11,1,139,Deluxe Electronics Hope,EXY-42-00011,1898.42,1019.57,High quality deluxe electronics hope from LinkSys.,"{""brand"": ""LinkSys"", ""color"": ""Black"", ""weight_kg"": 1.54, ""warranty_years"": 3}",True
12,30,172,Pro Grocery East,SSX-42-00012,12.6,7.53,High quality pro grocery east from TastyBites.,"{""brand"": ""TastyBites"", ""organic"": false, ""expiration_days"": 49}",True
13,8,135,Premium Automotive And,AXY-42-00013,294.8,135.24,High quality premium automotive and from MotorMax.,"{""brand"": ""MotorMax"", ""weight_g"": 964}",True
14,1,92,Classic Electronics Relate,EXY-42-00014,435.17,279.65,High quality classic electronics relate from Volt.,"{""brand"": ""Volt"", ""color"": ""White"", ""weight_kg"": 5.79, ""warranty_years"": 1}",True
