id,city_id,name,contact_name,email,phone,category_focus
1,590,Scott Inc,Megan Wilson,contact@scottinc.com,+52-9664-1605,Home & Kitchen
2,633,"Hicks, Williams and Roy",John Reyes,contact@hickswilliamsan.com,+52-5161-3696,Grocery & Gourmet Food
3,81,White Inc,Suzanne Yang,contact@whiteinc.com,+52-4535-2181,Grocery & Gourmet Food
4,523,Walker-Wright,Erica Mckenzie,contact@walker-wright.com,+1-5523-1243,Home & Kitchen
5,617,"Watson, Shaw and Winters",Robert Jarvis,contact@watsonshawandwi.com,+1-1277-9979,Office Products
6,331,Jones-Marshall,Ryan Murphy,contact@jones-marshall.com,+49-5271-7744,Office Products
7,58,"Bryant, Wood and Carter",Nancy Sanchez,contact@bryantwoodandca.com,+34-8147-7005,Beauty & Personal Care
8,79,Vargas-Snyder,Christie Mccullough,contact@vargas-snyder.com,+49-1998-6798,Electronics
9,461,Hernandez Group,Joshua Fields,contact@hernandezgroup.com,+44-3597-8207,Apparel
10,352,"Wiley, Tapia and Smith",Sarah Acosta,contact@wileytapiaandsm.com,+49-1820-3778,Grocery & Gourmet Food
11,625,Harris and Sons,Tyrone Kaufman,contact@harrisandsons.com,+1-5546-6590,Books
12,68,Dawson Inc,David Bruce,contact@dawsoninc.com,+34-1864-4925,Apparel
13,597,Haynes-Watson,Angela Davis,contact@haynes-watson.com,+49-2546-2914,Grocery & Gourmet Food
14,386,Walsh Group,Keith Graham,contact@walshgroup.com,+49-5281-6850,Books
15,317,Young LLC,Tammy Long,contact@youngllc.com,+1-3573-3221,Beauty & Personal Care
16,104,"Nguyen, Chavez and Hall",Brandy Carrillo,contact@nguyenchavezand.com,+44-8805-9296,Home & Kitchen
17,167,Moore and Sons,Erik Martinez,contact@mooreandsons.com,+1-9270-6537,Office Products
18,292,Oconnell-Clark,Derek Wilson,contact@oconnell-clark.com,+49-7383-4735,Office Products
19,452,Aguirre LLC,Melissa Williams,contact@aguirrellc.com,+52-4688-6239,Home & Kitchen
20,257,Hernandez-Dawson,Jennifer Williams,contact@hernandez-dawso.com,7581-8141,Home & Kitchen
21,280,Green-Ewing,Jared Chavez,contact@green-ewing.com,+52-8261-3750,Toys & Games
22,55,"Pierce, Davis and Garcia",Barbara Brown,contact@piercedavisandg.com,+52-8536-1530,Books
23,102,Anderson Group,Mark Newman,contact@andersongroup.com,+49-5220-4727,Automotive
24,631,"Willis, Lowery and Jones",Christina Brewer PhD,contact@willisloweryand.com,1043-2898,Toys & Games
25,114,Stein LLC,Tom Williams,contact@steinllc.com,+34-3410-3697,Apparel
26,114,"Hamilton, Ramsey and Crawford",Jeffery Gomez,contact@hamiltonramseya.com,+52-9808-9324,Toys & Games
27,2,Hill Group,Amanda Harvey,contact@hillgroup.com,+44-5396-2185,Apparel
28,539,Holland Group,Juan Brown,contact@hollandgroup.com,+44-8880-6706,Books
29,260,Reyes-Barnes,Rebecca Wright,contact@reyes-barnes.com,+49-0515-3195,Home & Kitchen
30,46,"Norton, Mayo and Casey",Joshua Washington,contact@nortonmayoandca.com,+34-8527-7221,Automotive
31,38,"Shaw, Price and White",Daniel Huang,contact@shawpriceandwhi.com,+34-3030-5486,Grocery & Gourmet Food
32,485,Brown-Frey,Pamela Key,contact@brown-frey.com,+34-0345-0541,Books
33,448,Garcia Ltd,Joseph Moody,contact@garcialtd.com,+52-7652-7758,Beauty & Personal Care
34,85,"Brown, Davies and Robinson",Rebecca Kelly,contact@browndaviesandr.com,+49-6169-2845,Apparel
35,82,Thompson PLC,Oscar Howard,contact@thompsonplc.com,+34-4479-6275,Automotive
36,44,"Johnson, Haynes and Meza",Kristine Lopez,contact@johnsonhaynesan.com,+49-5964-0165,Grocery & Gourmet Food
37,768,Weaver-Thompson,Anthony Guzman,contact@weaver-thompson.com,+49-2029-7021,Sports & Outdoors
38,798,Fox Inc,Lucas Drake,contact@foxinc.com,+49-5569-0927,Books
39,381,Love-Sellers,Erica Johnson,contact@love-sellers.com,+52-1928-5654,Sports & Outdoors
40,117,"Bush, Thomas and Rodriguez",Holly Jones,contact@bushthomasandro.com,2786-8144,Automotive
41,220,"Mcmahon, Foster and Garcia",Chad Moore,contact@mcmahonfosteran.com,+44-4731-2172,Automotive
42,90,Conner-Yu,Carrie Novak,contact@conner-yu.com,+49-5518-8442,Home & Kitchen
43,371,"Preston, Austin and Kelly",Robin Gray,contact@prestonaustinan.com,+44-3132-3705,Grocery & Gourmet Food
44,587,"Barker, Anderson and Daniel",Tiffany Myers,contact@barkerandersona.com,+34-7829-1146,Automotive
45,539,"Johnson, Guzman and Mccall",Connie Cunningham,contact@johnsonguzmanan.com,+52-6912-5177,Grocery & Gourmet Food
46,353,Taylor-Mcgee,William Jackson,contact@taylor-mcgee.com,+1-8922-6801,Grocery & Gourmet Food
47,157,Underwood Ltd,Stacie Griffin,contact@underwoodltd.com,+34-2253-5841,Beauty & Personal Care
48,202,Clark-Steele,Richard Le,contact@clark-steele.com,+49-8424-9818,Home & Kitchen
49,607,Cruz Ltd,Christopher Gutierrez,contact@cruzltd.com,+44-2299-5900,Apparel
50,47,Bell-Bennett,Rachel Lane,contact@bell-bennett.com,+49-9439-6907,Grocery & Gourmet Food
51,297,"Perez, Hayes and Lloyd",Alejandro Green,contact@perezhayesandll.com,+49-4736-4710,Home & Kitchen
52,451,Jones and Sons,Candace Jones,contact@jonesandsons.com,+52-7735-9255,Books
53,409,Morgan PLC,Michele Reynolds,contact@morganplc.com,+1-5881-5371,Beauty & Personal Care
54,461,"Martin, Preston and Moore",Daniel Lee,contact@martinprestonan.com,+1-2104-6963,Home & Kitchen
55,336,"Spencer, Frost and Fernandez",Elizabeth Davis,contact@spencerfrostand.com,+44-5327-8774,Automotive
56,24,Armstrong-Larsen,Isaac Patterson,contact@armstrong-larse.com,6873-3950,Electronics
57,289,Colon-Weber,Mr. Daniel Little,contact@colon-weber.com,+52-9748-0162,Beauty & Personal Care
58,745,Wells Inc,James Burns,contact@wellsinc.com,+34-6506-0983,Books
59,567,"Baker, May and Hughes",James Lopez,contact@bakermayandhugh.com,+34-1687-8499,Apparel
60,132,Baker Group,Russell Elliott,contact@bakergroup.com,6558-5239,Grocery & Gourmet Food
61,412,Goodwin Ltd,Michael Morton,contact@goodwinltd.com,+44-0002-5787,Home & Kitchen
62,621,Arellano-Lawrence,Sara Cardenas,contact@arellano-lawren.com,+44-2595-2694,Office Products
63,345,Sheppard-Mcdaniel,Laura Young,contact@sheppard-mcdani.com,+44-8879-4705,Books
64,690,Miller-Orr,Kathryn Lester,contact@miller-orr.com,6940-9749,Office Products
65,234,"Byrd, Oliver and Martinez",Carrie Joyce,contact@byrdoliverandma.com,+49-0972-8962,Sports & Outdoors
66,33,Stokes and Sons,Blake Vega,contact@stokesandsons.com,+44-1307-5626,Sports & Outdoors
67,421,Osborn Ltd,Kurt Flores,contact@osbornltd.com,+44-9702-8385,Automotive
